,school code,agency name,total operational schools,county name,highest grade taught,fall population,state revenue - lunch,expenditure - food,expenditure - textbooks,state revenue - transport,sat - district name,sat - test component,sat - state average,sat - district average,sat - score bracket,act - district name,act - state average,act - district average,act - score bracket
102,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
103,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
104,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
105,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
106,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
107,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
108,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
109,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
110,634,COFFEE COUNTY,12,Coffee County,12th Grade,7713.0,127000,5356000,535000,874000,Coffee County,Combined Test Score,1052,981.0,Below Average,Coffee County,21.0,18.9,Below Average
111,634,COFFEE COUNTY,12,Coffee County,12th Grade,7713.0,127000,5356000,535000,874000,Coffee County,Combined Test Score,1052,981.0,Below Average,Coffee County,21.0,18.9,Below Average
112,634,COFFEE COUNTY,12,Coffee County,12th Grade,7713.0,127000,5356000,535000,874000,Coffee County,Combined Test Score,1052,981.0,Below Average,Coffee County,21.0,18.9,Below Average
113,635,COLQUITT COUNTY,14,Colquitt County,12th Grade,9642.0,162000,6907000,0,958000,Colquitt County,Combined Test Score,1052,1028.0,Average,Colquitt County,21.0,18.2,Below Average
114,636,COLUMBIA COUNTY,31,Columbia County,12th Grade,27117.0,290000,11715000,2639000,1646000,Columbia County,Combined Test Score,1052,1106.0,Average,Columbia County,21.0,22.8,Average
115,636,COLUMBIA COUNTY,31,Columbia County,12th Grade,27117.0,290000,11715000,2639000,1646000,Columbia County,Combined Test Score,1052,1106.0,Average,Columbia County,21.0,22.8,Average
116,636,COLUMBIA COUNTY,31,Columbia County,12th Grade,27117.0,290000,11715000,2639000,1646000,Columbia County,Combined Test Score,1052,1106.0,Average,Columbia County,21.0,22.8,Average
117,636,COLUMBIA COUNTY,31,Columbia County,12th Grade,27117.0,290000,11715000,2639000,1646000,Columbia County,Combined Test Score,1052,1106.0,Average,Columbia County,21.0,22.8,Average
118,636,COLUMBIA COUNTY,31,Columbia County,12th Grade,27117.0,290000,11715000,2639000,1646000,Columbia County,Combined Test Score,1052,1106.0,Average,Columbia County,21.0,22.8,Average
119,771,COMMERCE CITY,4,Jackson County,12th Grade,1640.0,25000,1121000,17000,80000,Commerce City,Combined Test Score,1052,1012.0,Average,Commerce City,21.0,20.7,Average
120,7830310,COMMISSION CHARTER SCHOOLS- FULTON LEADERSHIP ACADEMY,1,Fulton County,12th Grade,354.0,0,222000,0,0,Commission Charter Schools- Fulton Leadership Academy,Combined Test Score,1052,962.0,Below Average,Commission Charter Schools- Fulton Leadership Academy,21.0,,0
121,637,COOK COUNTY,4,Cook County,12th Grade,3209.0,43000,1543000,76000,376000,Cook County,Combined Test Score,1052,951.0,Below Average,Cook County,21.0,17.9,Below Average
122,638,COWETA COUNTY,28,Coweta County,12th Grade,22810.0,256000,10047000,89000,1755000,Coweta County,Combined Test Score,1052,1092.0,Average,Coweta County,21.0,21.4,Average
123,638,COWETA COUNTY,28,Coweta County,12th Grade,22810.0,256000,10047000,89000,1755000,Coweta County,Combined Test Score,1052,1092.0,Average,Coweta County,21.0,21.4,Average
124,638,COWETA COUNTY,28,Coweta County,12th Grade,22810.0,256000,10047000,89000,1755000,Coweta County,Combined Test Score,1052,1092.0,Average,Coweta County,21.0,21.4,Average
125,639,CRAWFORD COUNTY,3,Crawford County,12th Grade,1705.0,31000,1493000,109000,337000,Crawford County,Combined Test Score,1052,1014.0,Average,Crawford County,21.0,19.0,Average
126,640,CRISP COUNTY,5,Crisp County,12th Grade,4082.0,75000,3182000,137000,550000,Crisp County,Combined Test Score,1052,983.0,Below Average,Crisp County,21.0,17.5,Below Average
127,641,DADE COUNTY,4,Dade County,12th Grade,2145.0,34000,1369000,40000,302000,Dade County,Combined Test Score,1052,1080.0,Average,Dade County,21.0,20.3,Average
128,772,DALTON PUBLIC SCHOOLS,9,Whitfield County,12th Grade,7899.0,134000,5017000,3000,245000,Dalton Public Schools,Combined Test Score,1052,1017.0,Average,Dalton Public Schools,21.0,21.5,Average
129,772,DALTON PUBLIC SCHOOLS,9,Whitfield County,12th Grade,7899.0,134000,5017000,3000,245000,Dalton Public Schools,Combined Test Score,1052,1017.0,Average,Dalton Public Schools,21.0,21.5,Average
130,642,DAWSON COUNTY,7,Dawson County,12th Grade,3516.0,48000,2357000,62000,390000,Dawson County,Combined Test Score,1052,1045.0,Average,Dawson County,21.0,20.5,Average
131,643,DECATUR COUNTY,9,Decatur County,12th Grade,5184.0,93000,4011000,165000,844000,Decatur County,Combined Test Score,1052,973.0,Below Average,Decatur County,21.0,19.5,Average
132,644,DEKALB COUNTY,132,DeKalb County,12th Grade,100144.0,1350000,60379000,4291000,4632000,DeKalb County,Combined Test Score,1052,1004.0,Average,DeKalb County,21.0,19.9,Average
133,644,DEKALB COUNTY,132,DeKalb County,12th Grade,100144.0,1350000,60379000,4291000,4632000,DeKalb County,Combined Test Score,1052,1004.0,Average,DeKalb County,21.0,19.9,Average
