,scode,School Dist Name,Test Component,State Avg Score,Dist Avg Score,Test Score Bracket
404,769,Chickamauga City,Combined Test Score,1052,1086.0,Average
405,771,Commerce City,Combined Test Score,1052,1012.0,Average
406,772,Dalton Public Schools,Combined Test Score,1052,1017.0,Average
407,772,Dalton Public Schools,Combined Test Score,1052,1017.0,Average
408,773,Decatur City,Combined Test Score,1052,1162.0,Above Average
409,774,Dublin City,Combined Test Score,1052,929.0,Below Average
410,776,Gainesville City,Combined Test Score,1052,1013.0,Average
411,779,Jefferson City,Combined Test Score,1052,1123.0,Above Average
412,781,Marietta City,Combined Test Score,1052,1074.0,Average
413,7820119,State Charter Schools- Provost Academy Georgia,Combined Test Score,1052,895.0,Below Average
414,7820412,State Charter Schools- Georgia Connections Academy,Combined Test Score,1052,1071.0,Average
415,7820613,State Charter Schools- Foothills Charter High School (Madison Campus),Combined Test Score,1052,958.0,Below Average
416,7830310,Commission Charter Schools- Fulton Leadership Academy,Combined Test Score,1052,962.0,Below Average
417,784,Pelham City,Combined Test Score,1052,968.0,Below Average
418,785,Rome City,Combined Test Score,1052,1089.0,Average
419,786,Social Circle City,Combined Test Score,1052,1050.0,Average
420,789,Thomasville City,Combined Test Score,1052,1095.0,Average
421,791,Trion City,Combined Test Score,1052,1080.0,Average
422,792,Valdosta City,Combined Test Score,1052,982.0,Below Average
423,793,Vidalia City,Combined Test Score,1052,1047.0,Average
