"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Essay Total",1449142,28569,1013,120,13,11,10
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Essay Writing Score - New",1449142,28569,1013,120,5,4,4
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,1188,152,536,468,419
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Math Section Score - New",2136539,65790,1188,152,516,445,395
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Reading Test  Score - New",2136539,65796,1188,152,270,235,208
"2017-18","611","Bibb County","0386","Southwest High School","All Students","WritLang Test  Score - New",2136539,65799,1188,152,266,233,211
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Combined Test Score",2136539,65795,77,77,1052,1109,1109
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Analysis Score - New",1449142,28569,16,16,4,4,4
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Reading Score - New",1449142,28569,16,16,5,5,5
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Total",1449142,28569,16,16,13,14,14
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Writing Score - New",1449142,28569,16,16,5,5,5
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,77,77,536,564,564
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Math Section Score - New",2136539,65790,77,77,516,545,545
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Reading Test  Score - New",2136539,65796,77,77,270,283,283
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","WritLang Test  Score - New",2136539,65799,77,77,266,280,280
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Combined Test Score",2136539,65795,106,106,1052,1025,1025
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Essay Analysis Score - New",1449142,28569,88,88,4,3,3
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Essay Reading Score - New",1449142,28569,88,88,5,4,4
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Essay Total",1449142,28569,88,88,13,12,12
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Essay Writing Score - New",1449142,28569,88,88,5,5,5
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,106,106,536,533,533
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Math Section Score - New",2136539,65790,106,106,516,492,492
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Reading Test  Score - New",2136539,65796,106,106,270,273,273
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","WritLang Test  Score - New",2136539,65799,106,106,266,260,260
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Combined Test Score",2136539,65795,34,34,1052,979,979
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Essay Analysis Score - New",1449142,28569,9,9,4,,
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Essay Reading Score - New",1449142,28569,9,9,5,,
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Essay Total",1449142,28569,9,9,13,,
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Essay Writing Score - New",1449142,28569,9,9,5,,
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,34,34,536,503,503
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Math Section Score - New",2136539,65790,34,34,516,476,476
