"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Mathematics",1914817,45080,49,49,20.5,20.4,19,19
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Reading",1914817,45076,49,49,21.3,21.7,22.1,22.1
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Science",1914817,45077,49,49,20.7,21,21.1,21.1
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Writing Subscore",903603,14029,24,24,6.5,6.9,6.5,6.5
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Composite",1914817,45081,47,47,20.8,21,18.1,18.1
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","English",1914817,45077,47,47,20.2,20.4,16.3,16.3
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Mathematics",1914817,45080,47,47,20.5,20.4,18,18
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Reading",1914817,45076,47,47,21.3,21.7,18.9,18.9
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Science",1914817,45077,47,47,20.7,21,18.6,18.6
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Writing Subscore",903603,14029,11,11,6.5,6.9,6.9,6.9
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Composite",1914817,45081,156,139,20.8,21,21.6,21.8
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","English",1914817,45077,156,139,20.2,20.4,21,21.2
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Mathematics",1914817,45080,156,139,20.5,20.4,20.9,21.2
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Reading",1914817,45076,156,139,21.3,21.7,22.2,22.4
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Science",1914817,45077,156,139,20.7,21,21.7,21.9
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Writing Subscore",903603,14029,44,38,6.5,6.9,6.8,6.9
