LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,611,Bibb County,186,Central High School,All Students,Composite,1782820,32389,257,75,20.7,20.4,17.4,17.5
2018-19,611,Bibb County,186,Central High School,All Students,English,1782820,32388,257,75,20.1,19.8,16.5,16.7
2018-19,611,Bibb County,186,Central High School,All Students,Mathematics,1782820,32391,257,75,20.4,19.8,17,17.1
2018-19,611,Bibb County,186,Central High School,All Students,Reading,1782820,32390,258,75,21.2,21.3,18,18.1
2018-19,611,Bibb County,186,Central High School,All Students,Science,1782820,32389,257,75,20.6,20.4,17.8,17.7
2018-19,611,Bibb County,186,Central High School,All Students,Writing Subscore,788161,7605,61,22,6.5,6.7,6.3,7.2
2018-19,611,Bibb County,198,Westside High School,All Students,Composite,1782820,32389,257,47,20.7,20.4,17.4,15.7
2018-19,611,Bibb County,198,Westside High School,All Students,English,1782820,32388,257,47,20.1,19.8,16.5,14.4
2018-19,611,Bibb County,198,Westside High School,All Students,Mathematics,1782820,32391,257,47,20.4,19.8,17,15.6
2018-19,611,Bibb County,198,Westside High School,All Students,Reading,1782820,32390,258,47,21.2,21.3,18,16.1
2018-19,611,Bibb County,198,Westside High School,All Students,Science,1782820,32389,257,47,20.6,20.4,17.8,16.1
2018-19,611,Bibb County,198,Westside High School,All Students,Writing Subscore,788161,7605,61,16,6.5,6.7,6.3,5.2
2018-19,611,Bibb County,204,Rutland High School,All Students,Composite,1782820,32389,257,40,20.7,20.4,17.4,18.1
2018-19,611,Bibb County,204,Rutland High School,All Students,English,1782820,32388,257,40,20.1,19.8,16.5,17.8
2018-19,611,Bibb County,204,Rutland High School,All Students,Mathematics,1782820,32391,257,40,20.4,19.8,17,17
2018-19,611,Bibb County,204,Rutland High School,All Students,Reading,1782820,32390,258,41,21.2,21.3,18,18.3
2018-19,611,Bibb County,204,Rutland High School,All Students,Science,1782820,32389,257,40,20.6,20.4,17.8,18.9
2018-19,611,Bibb County,204,Rutland High School,All Students,Writing Subscore,788161,7605,61,11,6.5,6.7,6.3,6.5
2018-19,611,Bibb County,286,Northeast High School,All Students,Composite,1782820,32389,257,23,20.7,20.4,17.4,17.2
2018-19,611,Bibb County,286,Northeast High School,All Students,English,1782820,32388,257,23,20.1,19.8,16.5,15.6
2018-19,611,Bibb County,286,Northeast High School,All Students,Mathematics,1782820,32391,257,23,20.4,19.8,17,17.5
2018-19,611,Bibb County,286,Northeast High School,All Students,Reading,1782820,32390,258,23,21.2,21.3,18,17.5
2018-19,611,Bibb County,286,Northeast High School,All Students,Science,1782820,32389,257,23,20.6,20.4,17.8,17.4
2018-19,611,Bibb County,286,Northeast High School,All Students,Writing Subscore,788161,7605,61,5,6.5,6.7,6.3,
2018-19,611,Bibb County,386,Southwest High School,All Students,Composite,1782820,32389,257,29,20.7,20.4,17.4,16.7
2018-19,611,Bibb County,386,Southwest High School,All Students,English,1782820,32388,257,29,20.1,19.8,16.5,15.2
2018-19,611,Bibb County,386,Southwest High School,All Students,Mathematics,1782820,32391,257,29,20.4,19.8,17,15.9
2018-19,611,Bibb County,386,Southwest High School,All Students,Reading,1782820,32390,258,29,21.2,21.3,18,17.2
2018-19,611,Bibb County,386,Southwest High School,All Students,Science,1782820,32389,257,29,20.6,20.4,17.8,17.9
2018-19,611,Bibb County,386,Southwest High School,All Students,Writing Subscore,788161,7605,61,2,6.5,6.7,6.3,
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Composite,1782820,32389,22,22,20.7,20.4,18.6,18.6
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,English,1782820,32388,22,22,20.1,19.8,17,17
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Mathematics,1782820,32391,22,22,20.4,19.8,19.3,19.3
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Reading,1782820,32390,22,22,21.2,21.3,19.6,19.6
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Science,1782820,32389,22,22,20.6,20.4,18.6,18.6
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Writing Subscore,788161,7605,1,1,6.5,6.7,,
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Composite,1782820,32389,23,23,20.7,20.4,22,22
2018-19,613,Brantley County,1050,Brantley County High School,All Students,English,1782820,32388,23,23,20.1,19.8,21.4,21.4
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Mathematics,1782820,32391,23,23,20.4,19.8,20.1,20.1
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Reading,1782820,32390,23,23,21.2,21.3,24,24
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Science,1782820,32389,23,23,20.6,20.4,21.6,21.6
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Writing Subscore,788161,7605,10,10,6.5,6.7,7.9,7.9
2018-19,614,Brooks County,110,Brooks County High School,All Students,Composite,1782820,32389,39,39,20.7,20.4,17,17
2018-19,614,Brooks County,110,Brooks County High School,All Students,English,1782820,32388,39,39,20.1,19.8,15.2,15.2
2018-19,614,Brooks County,110,Brooks County High School,All Students,Mathematics,1782820,32391,39,39,20.4,19.8,17.4,17.4
2018-19,614,Brooks County,110,Brooks County High School,All Students,Reading,1782820,32390,39,39,21.2,21.3,17.8,17.8
2018-19,614,Brooks County,110,Brooks County High School,All Students,Science,1782820,32389,39,39,20.6,20.4,16.9,16.9
2018-19,614,Brooks County,110,Brooks County High School,All Students,Writing Subscore,788161,7605,9,9,6.5,6.7,,
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Composite,1782820,32389,121,98,20.7,20.4,21.3,21.9
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,English,1782820,32388,121,98,20.1,19.8,20.8,21.4
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Mathematics,1782820,32391,121,98,20.4,19.8,20.3,20.8
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Reading,1782820,32390,121,98,21.2,21.3,22.4,22.9
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Science,1782820,32389,121,98,20.6,20.4,21.5,22.1
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Writing Subscore,788161,7605,28,20,6.5,6.7,6.9,7
